DateTime, Sensor, Temperature (Celcius), Pressure (hPa))
2017-04-28 02:08:41 +0800, BMP280, 22.913073, 1016.320984
2017-04-28 02:09:11 +0800, BMP280, 22.914078, 1016.333435
2017-04-28 02:09:41 +0800, BMP280, 22.909060, 1016.314148
2017-04-28 02:10:11 +0800, BMP280, 22.914078, 1016.322632
2017-04-28 02:10:41 +0800, BMP280, 22.910063, 1016.321228
2017-04-28 02:11:11 +0800, BMP280, 22.907051, 1016.327087
2017-04-28 02:11:41 +0800, BMP280, 22.900026, 1016.315308
2017-04-28 02:12:11 +0800, BMP280, 22.910063, 1016.321228
2017-04-28 02:12:41 +0800, BMP280, 22.908054, 1016.307007
2017-04-28 02:13:11 +0800, BMP280, 22.907051, 1016.332397
2017-04-28 02:13:41 +0800, BMP280, 22.906048, 1016.336060
2017-04-28 02:14:11 +0800, BMP280, 22.907051, 1016.321533
2017-04-28 02:14:41 +0800, BMP280, 22.912069, 1016.340881
2017-04-28 02:15:11 +0800, BMP280, 22.913073, 1016.331726
2017-04-28 02:15:41 +0800, BMP280, 22.909060, 1016.346619
2017-04-28 02:16:11 +0800, BMP280, 22.904039, 1016.343567
2017-04-28 02:16:41 +0800, BMP280, 22.905045, 1016.345276
2017-04-28 02:17:11 +0800, BMP280, 22.906048, 1016.341492
2017-04-28 02:17:41 +0800, BMP280, 22.905045, 1016.318176
2017-04-28 02:18:11 +0800, BMP280, 22.904039, 1016.359802
2017-04-28 02:18:41 +0800, BMP280, 22.906048, 1016.374084
2017-04-28 02:19:11 +0800, BMP280, 22.909060, 1016.368225
2017-04-28 02:19:41 +0800, BMP280, 22.905045, 1016.383179
2017-04-28 02:20:12 +0800, BMP280, 22.902033, 1016.399780
2017-04-28 02:20:42 +0800, BMP280, 22.900026, 1016.374695
2017-04-28 02:21:12 +0800, BMP280, 22.904039, 1016.413940
2017-04-28 02:21:42 +0800, BMP280, 22.910063, 1016.429382
2017-04-28 02:22:12 +0800, BMP280, 22.903036, 1016.423096
2017-04-28 02:22:42 +0800, BMP280, 22.907051, 1016.446045
2017-04-28 02:23:12 +0800, BMP280, 22.906048, 1016.460449
2017-04-28 02:23:42 +0800, BMP280, 22.904039, 1016.457214
2017-04-28 02:24:12 +0800, BMP280, 22.904039, 1016.457275
2017-04-28 02:24:42 +0800, BMP280, 22.902033, 1016.475403
2017-04-28 02:25:12 +0800, BMP280, 22.898018, 1016.458008
2017-04-28 02:25:42 +0800, BMP280, 22.901030, 1016.473755
2017-04-28 02:26:12 +0800, BMP280, 22.899021, 1016.437927
2017-04-28 02:26:42 +0800, BMP280, 22.900026, 1016.477539
2017-04-28 02:27:12 +0800, BMP280, 22.902033, 1016.448425
2017-04-28 02:27:42 +0800, BMP280, 22.897015, 1016.407532
2017-04-28 02:28:12 +0800, BMP280, 22.903036, 1016.444702
2017-04-28 02:28:42 +0800, BMP280, 22.900026, 1016.434204
2017-04-28 02:29:12 +0800, BMP280, 22.905045, 1016.442688
2017-04-28 02:29:42 +0800, BMP280, 22.905045, 1016.437195
2017-04-28 02:30:12 +0800, BMP280, 22.901030, 1016.419678
2017-04-28 02:30:42 +0800, BMP280, 22.899021, 1016.421753
2017-04-28 02:31:12 +0800, BMP280, 22.898018, 1016.425476
2017-04-28 02:31:42 +0800, BMP280, 22.900026, 1016.412659
2017-04-28 02:32:12 +0800, BMP280, 22.903036, 1016.433899
2017-04-28 02:32:42 +0800, BMP280, 22.902033, 1016.410583
2017-04-28 02:33:12 +0800, BMP280, 22.907051, 1016.402771
2017-04-28 02:33:42 +0800, BMP280, 22.903036, 1016.406860
2017-04-28 02:34:12 +0800, BMP280, 22.896011, 1016.400574
2017-04-28 02:34:42 +0800, BMP280, 22.896011, 1016.422119
2017-04-28 02:35:12 +0800, BMP280, 22.898018, 1016.420044
2017-04-28 02:35:42 +0800, BMP280, 22.899021, 1016.383972
2017-04-28 02:36:12 +0800, BMP280, 22.898018, 1016.387695
2017-04-28 02:36:42 +0800, BMP280, 22.901030, 1016.419739
2017-04-28 02:37:12 +0800, BMP280, 22.897015, 1016.407593
2017-04-28 02:37:42 +0800, BMP280, 22.894003, 1016.434998
2017-04-28 02:38:12 +0800, BMP280, 22.896011, 1016.449158
2017-04-28 02:38:42 +0800, BMP280, 22.898018, 1016.468750
2017-04-28 02:39:12 +0800, BMP280, 22.896011, 1016.449158
2017-04-28 02:39:42 +0800, BMP280, 22.894003, 1016.434998
2017-04-28 02:40:12 +0800, BMP280, 22.893000, 1016.465759
2017-04-28 02:40:43 +0800, BMP280, 22.893000, 1016.476562
2017-04-28 02:41:13 +0800, BMP280, 22.896011, 1016.503296
2017-04-28 02:41:43 +0800, BMP280, 22.897015, 1016.477905
2017-04-28 02:42:13 +0800, BMP280, 22.899021, 1016.486694
2017-04-28 02:42:43 +0800, BMP280, 22.893000, 1016.503540
2017-04-28 02:43:13 +0800, BMP280, 22.891996, 1016.496521
2017-04-28 02:43:43 +0800, BMP280, 22.887981, 1016.462830
2017-04-28 02:44:13 +0800, BMP280, 22.890993, 1016.483948
2017-04-28 02:44:43 +0800, BMP280, 22.896011, 1016.459961
2017-04-28 02:45:13 +0800, BMP280, 22.889988, 1016.498474
2017-04-28 02:45:43 +0800, BMP280, 22.887981, 1016.489807
2017-04-28 02:46:13 +0800, BMP280, 22.887981, 1016.473572
2017-04-28 02:46:43 +0800, BMP280, 22.886978, 1016.477356
2017-04-28 02:47:13 +0800, BMP280, 22.887981, 1016.473572
2017-04-28 02:47:43 +0800, BMP280, 22.890993, 1016.462402
2017-04-28 02:48:13 +0800, BMP280, 22.890993, 1016.478638
2017-04-28 02:48:43 +0800, BMP280, 22.894003, 1016.462036
2017-04-28 02:49:13 +0800, BMP280, 22.894003, 1016.429504
2017-04-28 02:49:43 +0800, BMP280, 22.885975, 1016.453918
2017-04-28 02:50:13 +0800, BMP280, 22.894003, 1016.407898
2017-04-28 02:50:43 +0800, BMP280, 22.899021, 1016.405518
2017-04-28 02:51:13 +0800, BMP280, 22.895006, 1016.409607
2017-04-28 02:51:43 +0800, BMP280, 22.890993, 1016.397522
2017-04-28 02:52:13 +0800, BMP280, 22.886978, 1016.379944
2017-04-28 02:52:43 +0800, BMP280, 22.884970, 1016.398193
2017-04-28 02:53:13 +0800, BMP280, 22.879951, 1016.378967
2017-04-28 02:53:43 +0800, BMP280, 22.885975, 1016.394470
2017-04-28 02:54:13 +0800, BMP280, 22.883966, 1016.429016
2017-04-28 02:54:43 +0800, BMP280, 22.879951, 1016.411377
2017-04-28 02:55:13 +0800, BMP280, 22.878948, 1016.366394
2017-04-28 02:55:43 +0800, BMP280, 22.880955, 1016.402283
2017-04-28 02:56:13 +0800, BMP280, 22.881960, 1016.387695
2017-04-28 02:56:43 +0800, BMP280, 22.882963, 1016.405701
2017-04-28 02:57:13 +0800, BMP280, 22.883966, 1016.396545
2017-04-28 02:57:43 +0800, BMP280, 22.878948, 1016.388062
2017-04-28 02:58:13 +0800, BMP280, 22.885975, 1016.394531
2017-04-28 02:58:43 +0800, BMP280, 22.881960, 1016.382324
2017-04-28 02:59:13 +0800, BMP280, 22.879951, 1016.406006
2017-04-28 02:59:43 +0800, BMP280, 22.876942, 1016.433289
2017-04-28 03:00:13 +0800, BMP280, 22.880955, 1016.418579
2017-04-28 03:00:43 +0800, BMP280, 22.880955, 1016.429321
2017-04-28 03:01:14 +0800, BMP280, 22.881960, 1016.452637
2017-04-28 03:01:44 +0800, BMP280, 22.883966, 1016.455994
2017-04-28 03:02:14 +0800, BMP280, 22.886978, 1016.444885
2017-04-28 03:02:44 +0800, BMP280, 22.882963, 1016.481323
2017-04-28 03:03:14 +0800, BMP280, 22.877945, 1016.467468
2017-04-28 03:03:44 +0800, BMP280, 22.879951, 1016.433044
2017-04-28 03:04:14 +0800, BMP280, 22.872927, 1016.432007
2017-04-28 03:04:44 +0800, BMP280, 22.880955, 1016.440125
2017-04-28 03:05:14 +0800, BMP280, 22.877945, 1016.418884
2017-04-28 03:05:44 +0800, BMP280, 22.872927, 1016.410400
2017-04-28 03:06:14 +0800, BMP280, 22.876942, 1016.422546
2017-04-28 03:06:44 +0800, BMP280, 22.865900, 1016.382446
2017-04-28 03:07:14 +0800, BMP280, 22.864897, 1016.391602
2017-04-28 03:07:44 +0800, BMP280, 22.868912, 1016.398376
2017-04-28 03:08:14 +0800, BMP280, 22.861885, 1016.391907
2017-04-28 03:08:44 +0800, BMP280, 22.863894, 1016.373657
2017-04-28 03:09:14 +0800, BMP280, 22.869915, 1016.367493
2017-04-28 03:09:44 +0800, BMP280, 22.870918, 1016.347534
2017-04-28 03:10:14 +0800, BMP280, 22.868912, 1016.338806
2017-04-28 03:10:44 +0800, BMP280, 22.875937, 1016.350586
2017-04-28 03:11:14 +0800, BMP280, 22.873930, 1016.325562
2017-04-28 03:11:44 +0800, BMP280, 22.871922, 1016.349243
2017-04-28 03:12:14 +0800, BMP280, 22.870918, 1016.331299
2017-04-28 03:12:44 +0800, BMP280, 22.866903, 1016.324646
2017-04-28 03:13:14 +0800, BMP280, 22.868912, 1016.279297
2017-04-28 03:13:44 +0800, BMP280, 22.873930, 1016.266052
2017-04-28 03:14:14 +0800, BMP280, 22.872927, 1016.210388
2017-04-28 03:14:44 +0800, BMP280, 22.869915, 1016.210632
2017-04-28 03:15:14 +0800, BMP280, 22.866903, 1016.205627
2017-04-28 03:15:44 +0800, BMP280, 22.870918, 1016.201599
2017-04-28 03:16:14 +0800, BMP280, 22.863894, 1016.184387
2017-04-28 03:16:44 +0800, BMP280, 22.863894, 1016.168152
2017-04-28 03:17:14 +0800, BMP280, 22.875937, 1016.188293
2017-04-28 03:17:44 +0800, BMP280, 22.871922, 1016.187012
2017-04-28 03:18:14 +0800, BMP280, 22.870918, 1016.163696
